Provinsi,Kabupaten/Kota,Kecamatan,Harga per Kg
Aceh,Aceh Barat,Arongan Lambalek,10000
Aceh,Aceh Barat,Bubon,10000
Aceh,Aceh Barat,Johan Pahlawan,10000
Aceh,Aceh Barat,Kaway Xvi,10000
Aceh,Aceh Barat,Meureubo,10000
Aceh,Aceh Barat,Pantai Ceuremen,10000
Aceh,Aceh Barat,Panton Reu,10000
Aceh,Aceh Barat,Samatiga,10000
Aceh,Aceh Barat,Sungai Mas,10000
Aceh,Aceh Barat,Woyla,10000
Aceh,Aceh Barat,Woyla Barat,10000
Aceh,Aceh Barat,Woyla Timur,10000
Aceh,Aceh Barat Daya,Babah Rot,10000
Aceh,Aceh Barat Daya,Blang Pidie,10000
Aceh,Aceh Barat Daya,Jeumpa-Blp,10000
Aceh,Aceh Barat Daya,Kuala Batee,10000
Aceh,Aceh Barat Daya,Lembah Sabil,10000
Aceh,Aceh Barat Daya,Manggeng,10000
Aceh,Aceh Barat Daya,Setia,10000
Aceh,Aceh Barat Daya,Susoh,10000
Aceh,Aceh Barat Daya,Tangan-Tangan,10000
Aceh,Aceh Besar,Baitussalam,10000
Aceh,Aceh Besar,Blang Bintang,10000
Aceh,Aceh Besar,Darul Imarah,10000
Aceh,Aceh Besar,Darul Kamal,10000
Aceh,Aceh Besar,Darussalam,10000
Aceh,Aceh Besar,Indrapuri,10000
Aceh,Aceh Besar,Ingin Jaya,10000
Aceh,Aceh Besar,Jantho,10000
Aceh,Aceh Besar,Krueng Barona Jaya,10000
Aceh,Aceh Besar,Kuta Baro,10000
Aceh,Aceh Besar,Kuta Cot Glie,10000
Aceh,Aceh Besar,Kuta Malaka,10000
Aceh,Aceh Besar,Lembah Seulawah,10000
Aceh,Aceh Besar,Leupung,10000
Aceh,Aceh Besar,Lho Nga,10000
Aceh,Aceh Besar,Lhoong,10000
Aceh,Aceh Besar,Mesjid Raya,10000
Aceh,Aceh Besar,Montasik,10000
Aceh,Aceh Besar,Peukan Bada ,10000
Aceh,Aceh Besar,Pulo Aceh,10000
Aceh,Aceh Besar,Seulimum,10000
Aceh,Aceh Besar,Simpang Tiga-Jto,10000
Aceh,Aceh Besar,Suka Makmur,10000
Aceh,Aceh Jaya,Darul Hikmah,10000
Aceh,Aceh Jaya,Indra Jaya,10000
Aceh,Aceh Jaya,Jaya,10000
Aceh,Aceh Jaya,Keude Panga,10000
Aceh,Aceh Jaya,Krueng Sabee,10000
Aceh,Aceh Jaya,Pasie Raya,10000
Aceh,Aceh Jaya,Sampoiniet,10000
Aceh,Aceh Jaya,Setia Bakti,10000
Aceh,Aceh Jaya,Teunom,10000
Aceh,Aceh Selatan,Bakongan,10000
Aceh,Aceh Selatan,Bakongan Timur,10000
Aceh,Aceh Selatan,Kluet Selatan,10000
Aceh,Aceh Selatan,Kluet Tengah,10000
Aceh,Aceh Selatan,Kluet Timur,10000
Aceh,Aceh Selatan,Kluet Utara,10000
Aceh,Aceh Selatan,Kota Bahagia,10000
Aceh,Aceh Selatan,Labuhan Haji Barat,10000
Aceh,Aceh Selatan,Labuhan Haji Timur,10000
Aceh,Aceh Selatan,Labuhan Haji-Tpk,10000
Aceh,Aceh Selatan,Meukek,10000
Aceh,Aceh Selatan,Pasie Raja,10000
Aceh,Aceh Selatan,Sama Dua,10000
Aceh,Aceh Selatan,Sawang-Tpk,10000
Aceh,Aceh Selatan,Tapak Tuan,10000
Aceh,Aceh Selatan,Trumon,10000
Aceh,Aceh Selatan,Trumon Tengah,10000
Aceh,Aceh Selatan,Trumon Timur,10000
Aceh,Aceh Singkil,Danau Paris,10000
Aceh,Aceh Singkil,Gunung Meriah-Snk,10000
Aceh,Aceh Singkil,Kota Baharu,10000
Aceh,Aceh Singkil,Kuala Baru,10000
Aceh,Aceh Singkil,Pulau Banyak,10000
Aceh,Aceh Singkil,Pulau Banyak Barat,10000
Aceh,Aceh Singkil,Simpang Kanan-Snk,10000
Aceh,Aceh Singkil,Singkil Utara,10000
Aceh,Aceh Singkil,Singkil-Snk,10000
Aceh,Aceh Singkil,Singkohor,10000
Aceh,Aceh Singkil,Suro Makmur,10000
Aceh,Aceh Tamiang,Banda Mulia,10000
Aceh,Aceh Tamiang,Bandar Pusaka,10000
Aceh,Aceh Tamiang,Bendahara,10000
Aceh,Aceh Tamiang,Karang Baru,10000
Aceh,Aceh Tamiang,Kejuruan Muda,10000
Aceh,Aceh Tamiang,Kuala Simpang,10000
Aceh,Aceh Tamiang,Manyak Payed,10000
Aceh,Aceh Tamiang,Rantau,10000
Aceh,Aceh Tamiang,Sekerak,10000
Aceh,Aceh Tamiang,Seruway,10000
Aceh,Aceh Tamiang,Tamiang Hulu,10000
Aceh,Aceh Tamiang,Tenggulum,10000
Aceh,Aceh Tengah,Atu Lintang,10000
Aceh,Aceh Tengah,Bebesen,10000
Aceh,Aceh Tengah,Bies,10000
Aceh,Aceh Tengah,Bintang,10000
Aceh,Aceh Tengah,Celala,10000
Aceh,Aceh Tengah,Jagong Jeget,10000
Aceh,Aceh Tengah,Kebanyakan ,10000
Aceh,Aceh Tengah,Ketol,10000
Aceh,Aceh Tengah,Kute Panang,10000
Aceh,Aceh Tengah,Laut Tawar,10000
Aceh,Aceh Tengah,Linge,10000
Aceh,Aceh Tengah,Pegasing,10000
Aceh,Aceh Tengah,Rusip Antara,10000
Aceh,Aceh Tengah,Silih Nara,10000
Aceh,Aceh Tenggara,Babul Makmur,10000
Aceh,Aceh Tenggara,Babul Rahmah,10000
Aceh,Aceh Tenggara,Babussalam,10000
Aceh,Aceh Tenggara,Badar,10000
Aceh,Aceh Tenggara,Bambel,10000
Aceh,Aceh Tenggara,Bukit Tusam,10000
Aceh,Aceh Tenggara,Darul Hasanah,10000
Aceh,Aceh Tenggara,Deleng Pokhisen,10000
Aceh,Aceh Tenggara,Ketambe,10000
Aceh,Aceh Tenggara,Lawe Alas,10000
Aceh,Aceh Tenggara,Lawe Sigala-Gala,10000
Aceh,Aceh Tenggara,Lawe Sumur,10000
Aceh,Aceh Tenggara,Leuser,10000
Aceh,Aceh Tenggara,Lowe Bulen,10000
Aceh,Aceh Tenggara,Semadam,10000
Aceh,Aceh Tenggara,Tanah Alas,10000
Aceh,Aceh Timur,Banda Alam,10000
Aceh,Aceh Timur,Birem Bayeun,10000
Aceh,Aceh Timur,Darul Aman,10000
Aceh,Aceh Timur,Darul Falah,10000
Aceh,Aceh Timur,Darul Ihsan,10000
Aceh,Aceh Timur,Idi Rayeuk,10000
Aceh,Aceh Timur,Idi Timur,10000
Aceh,Aceh Timur,Idi Tunong,10000
Aceh,Aceh Timur,Indra Makmur,10000
Aceh,Aceh Timur,Julok,10000
Aceh,Aceh Timur,Madat,10000
Aceh,Aceh Timur,Nurussalam,10000
Aceh,Aceh Timur,Pante Bidari ,10000
Aceh,Aceh Timur,Peidawa,10000
Aceh,Aceh Timur,Peunaron,10000
Aceh,Aceh Timur,Peureulak,10000
Aceh,Aceh Timur,Peureulak Barat,10000
Aceh,Aceh Timur,Pereulak Timur,10000
Aceh,Aceh Timur,Rantau Selamat,10000
Aceh,Aceh Timur,Ranto Peureulak,10000
Aceh,Aceh Timur,Serba Jadi-Idr,10000
Aceh,Aceh Timur,Simpang Jernih,10000
Aceh,Aceh Timur,Simpang Ulim,10000
Aceh,Aceh Timur,Sungai Raya-Idr,10000
Aceh,Aceh Utara,Baktiya,10000
Aceh,Aceh Utara,Baktiya Barat,10000
Aceh,Aceh Utara,Banda Baru,10000
Aceh,Aceh Utara,Cot Girek,10000
Aceh,Aceh Utara,Dewantara,10000
Aceh,Aceh Utara,Geuredong Pase,10000
Aceh,Aceh Utara,Kuta Makmur,10000
Aceh,Aceh Utara,Langkahan ,10000
Aceh,Aceh Utara,Lapang,10000
Aceh,Aceh Utara,Lhoksukon,10000
Aceh,Aceh Utara,Matangkuli,10000
Aceh,Aceh Utara,Meurah Mulia ,10000
Aceh,Aceh Utara,Muara Batu,10000
Aceh,Aceh Utara,Nibong,10000
Aceh,Aceh Utara,Nisam,10000
Aceh,Aceh Utara,Nisam Antara,10000
Aceh,Aceh Utara,Paya Bakong,10000
Aceh,Aceh Utara,Pirak timur,10000
Aceh,Aceh Utara,Samudera,10000
Aceh,Aceh Utara,Sawang-Lsn,10000
Aceh,Aceh Utara,Seunuddon,10000
Aceh,Aceh Utara,Simpang Kramat,10000
Aceh,Aceh Utara,Syamtalira Aron,10000
Aceh,Aceh Utara,Syamtalira Bayu,10000
Aceh,Aceh Utara,Tanah Jambo Aye,10000
Aceh,Aceh Utara,Tanah Luas,10000
Aceh,Aceh Utara,Tanah Pasir,10000
Aceh,Bener Meriah,Bener Kelipah,10000
Aceh,Bener Meriah,Bukit ,10000
Aceh,Bener Meriah,Gajah Putih,10000
Aceh,Bener Meriah,Mesidah,10000
Aceh,Bener Meriah,Permata ,10000
Aceh,Bener Meriah,Pintu Rime Gayo,10000
Aceh,Bener Meriah,Syiah Utama,10000
Aceh,Bener Meriah,Timang Gajah,10000
Aceh,Bener Meriah,Wih Pesam,10000
Aceh,Bireuen,Ganda Pura,10000
Aceh,Bireuen,Jangka,10000
Aceh,Bireuen,Jeumpa-Brw,10000
Aceh,Bireuen,Jeunieb,10000
Aceh,Bireuen,Juli,10000
Aceh,Bireuen,Kota Juang,10000
Aceh,Bireuen,Kuala-Brw,10000
Aceh,Bireuen,Kuta Blang,10000
Aceh,Bireuen,Makmur,10000
Aceh,Bireuen,Pandrah,10000
Aceh,Bireuen,Peudada,10000
Aceh,Bireuen,Peusangan,10000
Aceh,Bireuen,Peusangan Selatan,10000
Aceh,Bireuen,Peusangan Siblah Krueng,10000
Aceh,Bireuen,Plimbang,10000
Aceh,Bireuen,Samalanga,10000
Aceh,Bireuen,Simpang Mamplam,10000
Aceh,Gayo Lues,Blang Jerango,10000
Aceh,Gayo Lues,Blang Kejeren,10000
Aceh,Gayo Lues,Blang Pegayon,10000
Aceh,Gayo Lues,Dabun Gelang,10000
Aceh,Gayo Lues,Kuta Panjang,10000
Aceh,Gayo Lues,Pantan Cuaca,10000
Aceh,Gayo Lues,Pining,10000
Aceh,Gayo Lues,Putri Betung,10000
Aceh,Gayo Lues,Rikit Gaib,10000
Aceh,Gayo Lues,Terangun,10000
Aceh,Gayo Lues,Teripe Jaya,10000
Aceh,Nagan Raya,Beutong,10000
